Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
8550,0.7,Very Good,E,VVS1,63.2,57.0,5.62,5.67,3.57,4644
8547,0.55,Ideal,E,VS1,61.1,55.0,5.3,5.33,3.25,1975
2584,0.72,Premium,F,SI2,61.7,58.0,5.73,5.78,3.55,2058
18143,0.78,Ideal,D,SI1,62.2,55.0,5.92,5.95,3.69,3389
24010,1.0,Fair,F,SI1,62.6,59.0,6.25,6.3,3.93,4925
410,2.27,Premium,J,VS1,62.4,58.0,8.41,8.36,5.23,17149
23393,0.3,Good,H,VVS2,63.4,57.0,4.21,4.24,2.68,605
10409,0.95,Very Good,D,SI2,60.1,61.0,6.35,6.37,3.82,4418
21911,0.41,Very Good,F,SI1,62.5,58.0,4.74,4.77,2.97,702
6648,0.43,Very Good,G,VS1,61.0,58.0,4.89,4.92,2.99,943
22670,0.51,Ideal,F,VVS2,61.4,56.0,5.16,5.17,3.17,2025
5898,0.41,Good,E,SI1,,55.0,4.73,4.75,3.01,654
4193,0.31,Very Good,H,SI1,62.4,57.0,4.31,4.35,2.7,435
3406,1.51,Premium,I,SI1,58.6,62.0,7.51,7.45,4.38,8574
3142,0.6,Ideal,F,VVS2,60.8,57.0,5.44,5.49,3.32,2856
24033,0.4,Ideal,F,IF,62.3,57.0,4.69,4.71,2.93,1292
1239,1.24,Ideal,G,VS1,,55.0,6.85,6.89,4.25,10946
5399,0.5,Ideal,E,VS2,62.2,54.0,5.08,5.11,3.17,1624
24754,0.77,Very Good,D,SI1,58.6,59.0,6.0,6.04,3.53,3160
3361,1.52,Fair,H,SI1,64.6,55.0,7.24,7.19,4.66,7433
22839,1.01,Premium,F,VVS2,62.0,58.0,6.36,6.45,3.97,8532
16240,0.31,Ideal,D,SI1,61.4,55.0,4.38,4.35,2.68,732
6672,1.26,Very Good,G,VVS1,60.2,59.0,6.98,7.07,4.23,10922
23750,0.31,Ideal,G,VVS1,60.2,58.0,4.37,4.4,2.64,789
10712,1.54,Very Good,J,VS1,63.5,57.0,7.27,7.37,4.65,9285
21783,1.15,Good,H,SI1,60.2,61.0,6.74,6.84,4.09,5005
26234,1.02,Very Good,E,I1,60.4,62.0,6.47,6.52,3.92,3455
16990,1.25,Very Good,J,VS1,60.4,60.0,6.99,7.08,4.25,5628
17174,2.04,Premium,J,VS1,62.6,58.0,8.11,8.06,5.06,14660
2366,0.9,Very Good,G,SI1,63.4,54.0,6.11,6.16,3.89,3615
18243,0.52,Premium,D,VS2,62.4,58.0,5.09,5.13,3.19,1749
14918,1.34,Ideal,D,I1,61.7,55.0,7.12,7.08,4.38,6303
23645,0.48,Very Good,D,VVS2,59.5,57.0,5.16,5.12,3.06,2329
2785,2.25,Good,J,SI1,62.4,61.0,8.29,8.35,5.19,15287
24442,1.1,Ideal,F,VS2,60.7,57.0,6.66,6.7,4.05,8977
3836,2.0,Ideal,H,VS2,62.4,55.0,8.03,7.94,4.99,15829
24285,1.51,Very Good,G,SI1,60.3,57.0,7.44,7.48,4.5,11836
7897,0.86,Good,D,VVS1,64.3,53.0,6.02,6.12,3.89,5029
20438,1.78,Ideal,F,VS2,60.9,56.0,7.85,7.88,4.79,18128
9728,0.3,Premium,H,SI1,60.1,55.0,4.41,4.38,2.64,554
26600,0.4,Ideal,G,SI2,61.9,54.0,4.75,4.8,2.94,622
23081,0.3,Good,H,VS1,63.2,59.0,4.31,4.27,2.71,512
13294,0.85,Ideal,I,VS1,61.9,56.0,6.08,6.1,3.77,3548
13160,0.23,Ideal,H,VS1,61.2,55.0,3.94,3.97,2.42,423
23690,1.5,Premium,F,SI1,61.4,59.0,7.34,7.31,4.5,11588
24645,1.08,Very Good,F,VS2,63.1,57.0,6.56,6.5,4.12,6319
19391,0.41,Very Good,F,VS1,61.2,57.0,4.77,4.8,2.93,1007
7137,1.0,Premium,F,I1,62.4,59.0,6.38,6.34,3.97,3405
15423,0.53,Ideal,E,VS2,61.3,55.0,5.24,5.2,3.2,1813
8030,1.11,Very Good,H,SI2,63.4,55.0,6.54,6.51,4.14,4028
8404,0.3,Ideal,E,VVS2,62.4,54.0,4.31,4.34,2.7,742
20569,0.4,Premium,H,VVS1,61.8,58.0,4.72,4.69,2.91,1088
18585,0.72,Fair,G,VS2,64.6,55.0,5.66,5.71,3.67,2306
7540,1.65,Premium,G,SI1,61.0,58.0,7.66,7.62,4.66,11864
21132,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,6562
